"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","event.category","event.created","event.dataset","event.ingested","event.kind","event.module","event.original","event.outcome","event.timezone","event.type","fileset.name","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","http.request.method","http.response.body.bytes","http.response.status_code","http.version","input.type","log.file.path","log.offset","nginx.access.remote_ip_list","related.ip","service.type","source.address","source.ip","traefik.access.user_agent.name","traefik.access.user_agent.original","url.extension","url.original","url.original.text","url.path","url.query","user_agent.device.name","user_agent.name","user_agent.original","user_agent.original.text","user_agent.version"
"Oct 24, 2022 @ 07:34:59.000",cbjGCYQBSPzQqAiXWQKa,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:35:03.856","nginx.access","Oct 24, 2022 @ 07:35:04.857",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:59 +0000] ""GET /uploads/shell.php?cmd=id HTTP/1.1"" 499 0 ""-"" ""curl/7.84.0""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,0B,499,"1.1",log,"/var/log/nginx/access.log","3,719,299","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/uploads/shell.php?cmd=id","/uploads/shell.php?cmd=id","/uploads/shell.php","cmd=id",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:34:48.000",brjGCYQBSPzQqAiXHQI7,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:48.844","nginx.access","Oct 24, 2022 @ 07:34:49.403",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:48 +0000] ""POST /upload.php HTTP/1.1"" 200 41 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",POST,41B,200,"1.1",log,"/var/log/nginx/access.log","3,719,085","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/upload.php","/upload.php","/upload.php","-",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:34:47.000",aLjGCYQBSPzQqAiXHQI7,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:47.842","nginx.access","Oct 24, 2022 @ 07:34:49.402",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:47 +0000] ""POST / HTTP/1.1"" 302 810 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",POST,810B,302,"1.1",log,"/var/log/nginx/access.log","3,718,482","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0","-","/","/","/","-",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:34:47.000",abjGCYQBSPzQqAiXHQI7,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:47.842","nginx.access","Oct 24, 2022 @ 07:34:49.402",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:47 +0000] ""GET /home.php?username=''OR+1=1--'' HTTP/1.1"" 200 1036 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,1KB,200,"1.1",log,"/var/log/nginx/access.log","3,718,575","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/home.php?username=''OR+1=1--''","/home.php?username=''OR+1=1--''","/home.php","username=''OR+1=1--''",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:34:47.000",arjGCYQBSPzQqAiXHQI7,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:47.842","nginx.access","Oct 24, 2022 @ 07:34:49.402",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:47 +0000] ""GET /home.php?username=%27%20OR%201=1--%27 HTTP/1.1"" 200 1099 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,"1.1KB",200,"1.1",log,"/var/log/nginx/access.log","3,718,698","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/home.php?username=%27%20OR%201=1--%27","/home.php?username=%27%20OR%201=1--%27","/home.php","username=' OR 1=1--'",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:34:47.000",a7jGCYQBSPzQqAiXHQI7,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:47.842","nginx.access","Oct 24, 2022 @ 07:34:49.403",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:47 +0000] ""GET /home.php?username=%27%20OR%201=1--%27 HTTP/1.1"" 200 1099 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,"1.1KB",200,"1.1",log,"/var/log/nginx/access.log","3,718,828","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/home.php?username=%27%20OR%201=1--%27","/home.php?username=%27%20OR%201=1--%27","/home.php","username=' OR 1=1--'",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:34:47.000",bLjGCYQBSPzQqAiXHQI7,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:34:47.842","nginx.access","Oct 24, 2022 @ 07:34:49.403",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:34:47 +0000] ""GET /home.php?username=%27%20OR%201=1--%27 HTTP/1.1"" 302 5 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,5B,302,"1.1",log,"/var/log/nginx/access.log","3,718,958","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/home.php?username=%27%20OR%201=1--%27","/home.php?username=%27%20OR%201=1--%27","/home.php","username=' OR 1=1--'",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:00:19.000",ULemCYQBSPzQqAiXntSJ,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:00:24.350","nginx.access","Oct 24, 2022 @ 07:00:25.353",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:00:19 +0000] ""GET /uploads/shell.php?cmd=id HTTP/1.1"" 499 0 ""-"" ""curl/7.84.0""",failure,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,0B,499,"1.1",log,"/var/log/nginx/access.log","1,859,758","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/uploads/shell.php?cmd=id","/uploads/shell.php?cmd=id","/uploads/shell.php","cmd=id",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:00:09.000",TLemCYQBSPzQqAiXZNTI,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:00:09.348","nginx.access","Oct 24, 2022 @ 07:00:10.568",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:00:09 +0000] ""POST /upload.php HTTP/1.1"" 200 41 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",POST,41B,200,"1.1",log,"/var/log/nginx/access.log","1,859,544","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/upload.php","/upload.php","/upload.php","-",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:00:08.000",R7emCYQBSPzQqAiXZNTI,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:00:09.348","nginx.access","Oct 24, 2022 @ 07:00:10.567",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:00:08 +0000] ""POST / HTTP/1.1"" 302 810 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",POST,810B,302,"1.1",log,"/var/log/nginx/access.log","1,858,941","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0","-","/","/","/","-",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:00:08.000",SLemCYQBSPzQqAiXZNTI,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:00:09.348","nginx.access","Oct 24, 2022 @ 07:00:10.567",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:00:08 +0000] ""GET /home.php?username=''OR+1=1--'' HTTP/1.1"" 200 1036 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,1KB,200,"1.1",log,"/var/log/nginx/access.log","1,859,034","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/home.php?username=''OR+1=1--''","/home.php?username=''OR+1=1--''","/home.php","username=''OR+1=1--''",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:00:08.000",SbemCYQBSPzQqAiXZNTI,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:00:09.348","nginx.access","Oct 24, 2022 @ 07:00:10.567",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:00:08 +0000] ""GET /home.php?username=%27%20OR%201=1--%27 HTTP/1.1"" 200 1099 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,"1.1KB",200,"1.1",log,"/var/log/nginx/access.log","1,859,157","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/home.php?username=%27%20OR%201=1--%27","/home.php?username=%27%20OR%201=1--%27","/home.php","username=' OR 1=1--'",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:00:08.000",SremCYQBSPzQqAiXZNTI,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:00:09.348","nginx.access","Oct 24, 2022 @ 07:00:10.568",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:00:08 +0000] ""GET /home.php?username=%27%20OR%201=1--%27 HTTP/1.1"" 200 1099 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,"1.1KB",200,"1.1",log,"/var/log/nginx/access.log","1,859,287","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/home.php?username=%27%20OR%201=1--%27","/home.php?username=%27%20OR%201=1--%27","/home.php","username=' OR 1=1--'",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
"Oct 24, 2022 @ 07:00:08.000",S7emCYQBSPzQqAiXZNTI,".ds-filebeat-8.3.3-2022.10.24-000001","-","a69ac8da-ed3f-433a-8aef-d52c83724d9f",web,"d5242a58-c49b-4b15-bc66-4e1016f5963b",web,filebeat,"8.3.3","1.12.0",web,"Oct 24, 2022 @ 07:00:09.348","nginx.access","Oct 24, 2022 @ 07:00:10.568",event,nginx,"192.168.207.142 - - [24/Oct/2022:11:00:08 +0000] ""GET /home.php?username=%27%20OR%201=1--%27 HTTP/1.1"" 302 5 ""-"" ""curl/7.84.0""",success,"+00:00",access,access,"x86_64",false,web,0d71a11eed4745ffa8928a1f03c074f7,"172.16.0.3","02:42:ac:10:00:03",web,jammy,debian,"5.15.0-30-generic",Ubuntu,Ubuntu,ubuntu,linux,"22.04.1 LTS (Jammy Jellyfish)",GET,5B,302,"1.1",log,"/var/log/nginx/access.log","1,859,417","192.168.207.142","192.168.207.142",nginx,"192.168.207.142","192.168.207.142",curl,"curl/7.84.0",php,"/home.php?username=%27%20OR%201=1--%27","/home.php?username=%27%20OR%201=1--%27","/home.php","username=' OR 1=1--'",Other,curl,"curl/7.84.0","curl/7.84.0","7.84.0"
